tipo,valor,parceiro,data
Prémio Diário,20,–,2022-12-01 17:12:00
Prémio Diário,20,–,2022-12-02 18:36:00
Prémio Semanal,100,–,2022-12-02 19:45:00
Prémio Diário,20,–,2022-12-03 19:00:00
Prémio Diário,20,–,2022-12-04 20:24:00
Prémio Diário,20,–,2022-12-05 21:48:00
Prémio Diário,20,–,2022-12-06 22:12:00
Prémio Diário,20,–,2022-12-07 23:36:00
Prémio Diário,20,–,2022-12-08 07:00:00
Prémio Diário,20,–,2022-12-09 08:24:00
Prémio Diário,20,–,2022-12-10 09:48:00
Prémio Semanal,100,–,2022-12-10 21:15:00
Prémio Diário,20,–,2022-12-11 10:12:00
Prémio Diário,20,–,2022-12-12 11:36:00
Prémio Diário,20,–,2022-12-13 12:00:00
Prémio Diário,20,–,2022-12-14 13:24:00
Prémio Diário,20,–,2022-12-15 14:48:00
Prémio Diário,20,–,2022-12-16 15:12:00
Prémio Diário,20,–,2022-12-17 16:36:00
Prémio Semanal,100,–,2022-12-18 09:45:00
Prémio Diário,20,–,2022-12-18 17:00:00
Prémio Semanal,100,–,2022-12-19 11:15:00
Prémio Diário,20,–,2022-12-19 18:24:00
Prémio Diário,20,–,2022-12-20 19:48:00
Prémio Diário,20,–,2022-12-21 20:12:00
Prémio Diário,20,–,2022-12-22 21:36:00
Prémio Diário,20,–,2022-12-23 22:00:00
Prémio Diário,20,–,2022-12-24 23:24:00
Prémio Diário,20,–,2022-12-25 07:48:00
Prémio Diário,20,–,2022-12-26 08:12:00
Prémio Diário,20,–,2022-12-27 09:36:00
Prémio Semanal,100,–,2022-12-27 13:45:00
Prémio Diário,20,–,2022-12-28 10:00:00
Prémio Diário,20,–,2022-12-29 11:24:00
Prémio Diário,20,–,2022-12-30 12:48:00
Prémio Mensal,200,–,2022-12-31 11:00:00
Prémio Diário,20,–,2022-12-31 13:12:00
Prémio Diário,20,–,2023-01-01 14:36:00
Prémio Diário,20,–,2023-01-02 15:00:00
Prémio Diário,20,–,2023-01-03 16:24:00
Prémio Semanal,100,–,2023-01-04 15:15:00
Prémio Diário,20,–,2023-01-04 17:48:00
Prémio Diário,20,–,2023-01-05 18:12:00
Prémio Diário,20,–,2023-01-06 19:36:00
Prémio Diário,20,–,2023-01-07 20:00:00
Prémio Diário,20,–,2023-01-08 21:24:00
Prémio Diário,20,–,2023-01-09 22:48:00
Prémio Diário,20,–,2023-01-10 23:12:00
Prémio Diário,20,–,2023-01-11 07:36:00
Prémio Diário,20,–,2023-01-12 08:00:00
Prémio Semanal,100,–,2023-01-12 17:45:00
Prémio Diário,20,–,2023-01-13 09:24:00
Prémio Diário,20,–,2023-01-14 10:48:00
Prémio Diário,20,–,2023-01-15 11:12:00
Prémio Diário,20,–,2023-01-16 12:36:00
Prémio Diário,20,–,2023-01-17 13:00:00
Prémio Diário,20,–,2023-01-18 14:24:00
Prémio Diário,20,–,2023-01-19 15:48:00
Prémio Diário,20,–,2023-01-20 16:12:00
Prémio Semanal,100,–,2023-01-20 19:15:00
Prémio Diário,20,–,2023-01-21 17:36:00
Prémio Diário,20,–,2023-01-22 18:00:00
Prémio Diário,20,–,2023-01-23 19:24:00
Prémio Diário,20,–,2023-01-24 20:48:00
Prémio Diário,20,–,2023-01-25 21:12:00
Prémio Diário,20,–,2023-01-26 22:36:00
Prémio Diário,20,–,2023-01-27 23:00:00
Prémio Diário,20,–,2023-01-28 07:24:00
Prémio Mensal,200,–,2023-01-28 12:00:00
Prémio Semanal,100,–,2023-01-28 21:45:00
Prémio Diário,20,–,2023-01-29 08:48:00
Prémio Diário,20,–,2023-01-30 09:12:00
Prémio Diário,20,–,2023-01-31 10:36:00
Prémio Diário,20,–,2023-02-01 11:00:00
Prémio Diário,20,–,2023-02-02 12:24:00
Prémio Diário,20,–,2023-02-03 13:48:00
Prémio Diário,20,–,2023-02-04 14:12:00
Prémio Semanal,100,–,2023-02-05 09:15:00
Prémio Diário,20,–,2023-02-05 15:36:00
Prémio Semanal,100,–,2023-02-06 11:45:00
Prémio Diário,20,–,2023-02-06 16:00:00
Prémio Diário,20,–,2023-02-07 17:24:00
Prémio Diário,20,–,2023-02-08 18:48:00
Prémio Diário,20,–,2023-02-09 19:12:00
